Tag,SRR Code,Brood Year,Migration Year,Hatchery Name,Stock,Release Site,Release Site Code,Mark Conditional Comment,Mark Weight,Mark Length,SbyC,Expansion,Ocean Age
3DD.003D393F1E,11H,2020,2022,Clearwater Hatchery,CLEAR CREEK,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RTR,1,1
3DD.003D394313,11H,2020,2022,Clearwater Hatchery,CLEAR CREEK,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,58.06683396,1
3DD.003D3EE477,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,43,2
3DD.003D3EE4BE,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,43,2
3DD.003D3EE4D5,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RTR,1,2
3DD.003D3EE67D,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RTR,1,2
3DD.003D3EE91E,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,43,2
3DD.003D3EE91F,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RTR,1,2
3DD.003D3EE9F2,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,43,2
3DD.003D3EEB66,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD,,,RAL,43,2
3DD.003D3EEDCA,11H,2020,2022,Clearwater Hatchery,CLEAR CREEK,CLEARC - Clear Creek,CLEARC,AD,,,RAL,112.3424357,1
3DD.003D666D68,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD CW,,,RAL,43,2
3DD.003D666F4A,11H,2019,2021,Clearwater Hatchery,SF CLEARWATER,CLWHNF - Clearwater Hatchery release into North Fork Clearwater River,CLWHNF,AD CW,,,RAL,43,2
