"Tag Code","Mark File Name","Mark Data Project Code and Name","Mark Site Name","Mark Date MMDDYYYY","Release Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Mark Count"
"384.3B239A32B7","MAP-2019-229-SFK.xml","MAP - McCall Anadromous Projects","SFSRKT - South Fork Salmon Trap at Krassel","8/17/2019","SFSRKT - South Fork Salmon Trap at Krassel","8/17/2019","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"384.3B239B827A","MAP-2019-250-SFK.xml","MAP - McCall Anadromous Projects","SFSRKT - South Fork Salmon Trap at Krassel","9/7/2019","SFSRKT - South Fork Salmon Trap at Krassel","9/7/2019","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3D6.1D59457D57","CDR-2020-239-SCT.xml","CDR - Craig Rabe Projects","SECTRP - Secesh River Screw Trap","8/26/2020","SECTRP - Secesh River Screw Trap","8/26/2020","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3D6.1D59804C95","CDR-2020-222-SCT.xml","CDR - Craig Rabe Projects","SECTRP - Secesh River Screw Trap","8/9/2020","SECTRP - Secesh River Screw Trap","8/9/2020","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3DA.1A19B3EC4F","CDR-2020-200-JCT.xml","CDR - Craig Rabe Projects","JOHTRP - Johnson Creek Trap","7/18/2020","JOHTRP - Johnson Creek Trap","7/18/2020","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3DA.1A19B3FDEB","CDR-2020-298-SCT.xml","CDR - Craig Rabe Projects","SECTRP - Secesh River Screw Trap","10/24/2020","SECTRP - Secesh River Screw Trap","10/24/2020","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3DA.1A19B3FE51","CDR-2019-222-JCT.xml","CDR - Craig Rabe Projects","JOHTRP - Johnson Creek Trap","8/10/2019","JOHTRP - Johnson Creek Trap","8/10/2019","1","Chinook","2","Summer","W","Wild Fish or Natural Production","1"
"3DD.003BD468A8","SRV-2021-126-SV6.xml","SRV - NOAA Fisheries Research Survival Studies","LGR - Lower Granite Dam","5/6/2021","LGRRRR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility","5/7/2021","1","Chinook","5","Unknown","W","Wild Fish or Natural Production","1"
"3DD.003BD468C5","SRV-2021-126-SV6.xml","SRV - NOAA Fisheries Research Survival Studies","LGR - Lower Granite Dam","5/6/2021","LGRRRR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility","5/7/2021","1","Chinook","5","Unknown","W","Wild Fish or Natural Production","1"
"3DD.003D29F160","SRV-2021-097-SV6.xml","SRV - NOAA Fisheries Research Survival Studies","LGR - Lower Granite Dam","4/7/2021","LGRRRR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility","4/8/2021","1","Chinook","5","Unknown","W","Wild Fish or Natural Production","1"
"3DD.003D326BC5","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326BFE","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326D76","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326EAE","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326EC7","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326EDC","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326F84","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D326FE9","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D327170","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D32717E","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D327645","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D327B5C","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D327BBA","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D327C7E","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D32800A","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D32807B","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D32810E","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328397","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D32840C","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328418","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D3285EF","CSS-2020-289-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D3287F1","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328C5A","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328D00","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328D24","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328E2A","CSS-2020-289-M11.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D328F14","CSS-2020-289-M31.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","10/15/2020","KNOXB - Knox Bridge, SF Salmon River","4/12/2021","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D38979E","CSS-2019-337-M21.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","12/3/2019","KNOXB - Knox Bridge, SF Salmon River","4/8/2020","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D394FF8","CSS-2019-338-M22.xml","CSS - Comparative Survival Study","MCCA - McCall Hatchery","12/4/2019","KNOXB - Knox Bridge, SF Salmon River","4/8/2020","1","Chinook","2","Summer","H","Hatchery Reared","1"
"3DD.003D493DD7","JSW-2023-138-001.xml","JSW - Jody White Projects","LGRLDR - LGR - Release into the Adult Fish Ladder","5/18/2023","LGRLDR - LGR - Release into the Adult Fish Ladder","5/18/2023","1","Chinook","1","Spring","W","Wild Fish or Natural Production","1"
"3DD.003D493DEC","JSW-2023-143-001.xml","JSW - Jody White Projects","LGRLDR - LGR - Release into the Adult Fish Ladder","5/23/2023","LGRLDR - LGR - Release into the Adult Fish Ladder","5/23/2023","1","Chinook","1","Spring","H","Hatchery Reared","1"
"3DD.003D493ED7","JSW-2023-177-001.xml","JSW - Jody White Projects","LGRLDR - LGR - Release into the Adult Fish Ladder","6/26/2023","LGRLDR - LGR - Release into the Adult Fish Ladder","6/26/2023","1","Chinook","2","Summer","H","Hatchery Reared","1"
